period,room,year.level,number.of.students,lesson.time,direct.instruction,discussing,reading..viewing,groupwork,independent.work,LI.visible,SC.visible,learning.understanding,success.understanding,date,learning.process
2,18,10,17,B,1,0,1,0,1,1,0,2,1,2017-10-31,
2,17,7,20,B,1,1,1,1,0,1,1,2,2,2017-10-31,
2,6,12,16,M,0,1,0,1,0,1,1,2,2,2017-10-31,
2,5,7,19,M,0,1,0,0,1,0,0,2,2,2017-10-31,
2,3,7,21,M,0,1,0,0,1,0,0,2,2,2017-10-31,
2,14,9,22,M,1,0,1,0,0,0,0,2,2,2017-10-31,
2,13,9,23,M,0,0,0,0,1,1,1,2,2,2017-10-31,
2,12,9,24,M,1,1,1,0,1,1,1,2,2,2017-10-31,
2,9,8,22,E,0,1,1,0,1,0,0,2,1,2017-10-31,
3,5H,5,26,M,1,0,0,0,1,0,0,2,2,2017-10-31,
3,1,1,40,M,1,1,0,0,0,1,1,2,2,2017-10-31,
3,5C,5,27,M,0,1,0,1,0,1,1,2,2,2017-10-31,
3,31,12,10,M,1,1,0,0,0,1,1,2,2,2017-10-31,
3,20,9,20,M,1,1,0,0,0,1,1,2,2,2017-10-31,
3,29,11,19,M,1,1,0,0,0,1,1,2,2,2017-10-31,
3,28,12,12,M,1,0,0,0,0,1,1,2,1,2017-10-31,
3,26,10,3,M,0,0,0,0,1,1,1,2,2,2017-10-31,
4,2,8,17,B,0,1,1,1,0,1,1,2,2,2017-10-31,
4,4,9,19,M,0,0,0,0,1,0,0,2,2,2017-10-31,
4,14,7,23,M,0,0,0,0,1,0,0,2,2,2017-10-31,
4,12,7,22,M,0,1,1,1,0,1,1,1,1,2017-10-31,
4,K,K,13,M,1,0,0,0,1,1,1,2,2,2017-10-31,
4,23,10,11,E,0,0,0,0,1,1,1,2,2,2017-10-31,
1,1,9,23,B,0,0,1,0,0,0,0,1,0,2016-02-10,
1,4,9,18,M,0,1,0,0,1,0,0,2,2,2016-02-10,
1,7,7,21,M,0,1,1,0,0,1,1,2,2,2016-02-10,
1,7A,11,14,M,1,1,0,0,0,1,1,2,2,2016-02-10,
1,L4,10,10,M,0,0,0,0,1,1,1,2,2,2016-02-10,
1,L3,10,19,M,1,0,0,0,0,1,1,2,2,2016-02-10,
1,L2,10,8,M,0,1,0,1,0,1,1,2,2,2016-02-10,
1,16,7,20,M,0,0,0,1,0,1,1,2,2,2016-02-10,
2,10,11,23,B,0,0,1,0,0,0,0,1,1,2016-02-10,
2,11,11,24,M,1,0,0,0,0,1,1,2,2,2016-02-10,
2,14,8,28,M,0,1,0,0,0,0,0,2,1,2016-02-10,
2,8,7,21,M,0,0,0,0,1,1,1,2,1,2016-02-10,
2,9,8,21,M,0,0,0,0,1,1,1,2,2,2016-02-10,
2,26,8,23,M,1,0,0,0,0,1,1,2,2,2016-02-10,
2,24,10,6,M,0,1,0,1,0,1,1,2,2,2016-02-10,
2,28,7,19,E,0,1,0,0,1,1,1,2,2,2016-02-10,
3,4,7,27,B,1,0,0,0,0,1,1,1,1,2016-02-10,
3,P6,6,24,B,1,0,1,0,0,1,1,2,1,2016-02-10,
3,P5,5,24,B,1,0,0,0,0,1,1,2,2,2016-02-10,
3,K,0,27,M,1,1,1,0,0,1,1,2,2,2016-02-10,
3,P3,3.5,49,M,0,1,0,1,0,0,0,1,1,2016-02-10,
3,L1,11,8,M,1,1,0,0,1,1,1,1,1,2016-02-10,
3,14,7,28,E,1,0,1,0,0,1,1,2,2,2016-02-10,
4,6,11,15,B,0,1,0,0,1,1,1,2,2,2016-02-10,
4,5,11,25,M,1,0,0,0,0,1,1,2,2,2016-02-10,
4,7A,11,6,M,0,1,0,0,1,1,1,2,2,2016-02-10,
4,L5,11,10,M,1,1,0,0,0,1,0,2,2,2016-02-10,
4,12,12,28,M,0,1,0,1,0,0,0,2,2,2016-02-10,
3,L4,11,13,B,0,0,1,0,0,0,0,0,0,2016-06-8,
3,L3,11,15,B,0,1,1,0,1,0,0,2,2,2016-06-8,
3,4,11,9,M,0,0,0,0,1,0,0,1,1,2016-06-8,
3,5,12,13,M,1,1,0,0,0,1,1,2,2,2016-06-8,
3,7,7,20,M,1,1,0,0,0,1,1,2,2,2016-06-8,
3,17,7,20,M,1,1,0,1,0,1,1,2,2,2016-06-8,
3,26,7,18,M,0,0,1,0,1,1,1,2,2,2016-06-8,
3,2,10,20,M,0,0,0,0,1,0,0,1,1,2016-06-8,
3,L5,10.5,16,E,0,0,1,0,1,1,1,2,2,2016-06-8,
4,L1,8,22,M,1,1,0,0,0,0,0,2,2,2016-06-8,
4,K6,6,16,M,0,1,0,1,0,0,0,1,1,2016-06-8,
4,K2,2,17,M,1,1,0,0,1,1,1,2,2,2016-06-8,
4,K4,3.5,16,M,0,1,1,0,1,1,1,2,2,2016-06-8,
4,K3,3,20,M,1,0,0,0,1,1,1,2,2,2016-06-8,
4,23,12,12,E,0,0,0,0,0,0,0,1,0,2016-06-8,
1,27,11,3,B,0,0,1,0,1,1,1,2,2,2016-07-28,
1,23,8,16,M,1,0,0,0,1,1,1,2,2,2016-07-28,
1,24,8,13,M,0,1,0,0,1,1,1,2,2,2016-07-28,
1,26,11,8,M,0,0,0,0,1,1,1,2,2,2016-07-28,
1,9,10,13,M,0,0,1,0,1,0,0,1,0,2016-07-28,
1,M2,8,16,M,0,1,0,0,1,1,1,2,2,2016-07-28,
1,M1,8,13,M,0,1,0,1,1,0,0,2,2,2016-07-28,
1,12,9,17,M,0,1,1,1,0,0,0,2,1,2016-07-28,
2,L4,11,12,B,1,1,1,1,0,1,1,2,2,2016-07-28,
2,L3,11,15,M,0,1,1,1,1,1,1,2,2,2016-07-28,
2,L2,7,22,M,0,1,0,1,0,1,1,2,2,2016-07-28,
2,L1,7,20,M,1,0,1,0,1,0,0,1,0,2016-07-28,
2,PCC,7,18,M,1,0,0,0,1,0,0,2,2,2016-07-28,
2,PCC,10,16,M,0,0,0,0,1,0,0,2,2,2016-07-28,
2,16,8,14,M,1,0,1,0,1,1,1,2,2,2016-07-28,
2,28,8,16,E,0,0,1,0,1,1,1,2,2,2016-07-28,
2,27,9,9,E,0,0,1,0,1,1,1,2,2,2016-07-28,
2,28,8,13,M,0,0,0,0,1,1,1,2,2,2016-11-17,
2,26,8,18,M,1,0,0,0,0,1,0,2,2,2016-11-17,
2,8,11,14,M,1,0,0,0,0,1,1,2,2,2016-11-17,
2,4,12,11,M,0,0,0,0,1,0,0,2,1,2016-11-17,
2,14,9,22,M,0,0,1,0,1,0,0,2,1,2016-11-17,
2,12,8,13,M,1,0,0,0,0,1,1,2,1,2016-11-17,
2,11,7,17,M,1,0,0,0,1,1,1,2,2,2016-11-17,
2,10,10,25,M,0,0,0,0,0,1,1,2,2,2016-11-17,
2,M1,9,9,M,0,0,0,0,0,0,0,2,0,2016-11-17,
2,16,8,14,E,0,0,0,0,0,0,0,1,0,2016-11-17,
3,28,8,16,M,0,0,0,0,1,0,0,2,1,2016-11-17,
3,L4,8,22,M,1,0,0,0,0,0,0,1,1,2016-11-17,
3,L1,8,22,M,0,0,1,0,1,0,0,2,0,2016-11-17,
3,27,12,16,M,1,0,1,0,1,1,1,2,2,2016-11-17,
3,L5,12,9,M,0,0,0,0,1,1,1,2,2,2016-11-17,
3,14,12,8,M,0,0,0,0,1,1,1,2,2,2016-11-17,
3,11,9,55,M,0,0,0,0,0,1,1,2,1,2016-11-17,
3,10,10,14,E,0,0,0,1,0,0,0,1,1,2016-11-17,
3,L2,12,8,M,0,1,0,0,0,0,0,2,2,2016-11-17,
4,4,10,20,M,0,0,0,1,0,1,1,2,2,2016-11-17,
4,5,10,15,B,0,0,0,0,1,0,0,2,0,2016-11-17,
4,6,10,11,B,0,0,0,0,1,1,1,2,1,2016-11-17,
4,10,8,21,M,1,0,1,0,0,1,1,2,2,2016-11-17,
4,8,8,22,M,1,1,1,0,0,1,1,2,2,2016-11-17,
4,7,8,21,M,0,0,1,1,0,1,1,2,1,2016-11-17,
1,28,8,22,B,0,0,0,0,1,1,1,1,1,2017-02-22,
